id;name;data;data_content_type;ext;url
1;generate;../fake-data/blob/hipster.png;image/png;true;http://delilah.biz
2;Fully-configurable;../fake-data/blob/hipster.png;image/png;true;http://herta.org
3;Borders;../fake-data/blob/hipster.png;image/png;true;http://araceli.biz
4;Alabama withdrawal;../fake-data/blob/hipster.png;image/png;true;https://lizeth.name
5;Buckinghamshire Cotton;../fake-data/blob/hipster.png;image/png;false;http://freda.biz
6;New Zealand;../fake-data/blob/hipster.png;image/png;true;https://ubaldo.com
7;streamline Customer;../fake-data/blob/hipster.png;image/png;false;https://dereck.net
8;disintermediate New Zealand Bedfordshire;../fake-data/blob/hipster.png;image/png;false;http://dakota.biz
9;Architect;../fake-data/blob/hipster.png;image/png;false;https://kamren.name
10;Fantastic New Jersey;../fake-data/blob/hipster.png;image/png;false;http://anais.name
